source_image,tag_index,detector_confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sale_classification,is_promo,sale_reason,sale_color_reason,sale_geometry_reason,sale_keyword_match,sale_baseline_color,sale_baseline_confidence,sale_baseline_source,tag_color,tag_red_ratio,tag_yellow_ratio,tag_background_lab_b,tag_background_saturation,tag_aspect_ratio,tag_area,tag_area_to_median_ratio,tag_area_to_shelf_median_ratio,sale_shelf_index,primary_price,primary_value,primary_price_confidence,secondary_price,secondary_value,secondary_price_confidence,tertiary_price,tertiary_value,tertiary_price_confidence,price_count,prices,price_values,crop_file,ocr_error,ocr_text,closest_product_index,closest_product_label,closest_product_score,closest_product_is_unknown,closest_product_is_rejected,closest_product_distance_px,preferred_product_index,preferred_product_label,preferred_product_distance_px,alignment_shelf_row_index,alignment_horizontal_offset_ratio,alignment_vertical_gap_ratio,alignment_match_cost,alignment_one_to_one_reassigned,alignment_one_to_one_rejection_count,aligned_product_index,aligned_product_label,aligned_product_score,aligned_product_is_unknown,aligned_product_is_rejected,alignment_corrected,alignment_correction_reason,alignment_consensus_label,alignment_consensus_votes,alignment_consensus_total,alignment_consensus_share,alignment_consensus_product_indices,alignment_distance_px,alignment_dx_px,alignment_dy_px,alignment_product_center_x,alignment_product_center_y,alignment_price_tag_center_x,alignment_price_tag_center_y,alignment_status
IMG_7362.HEIC,0,0.9710336327552795,931,1626,1157,1714,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,31.0,77.0,0.3893805309734513,19888,1.5250364235871483,1.0,1,"9,99",9.99,0.9387247562408447,,,,,,,1,"9,99",9.99,price_tag_crops\tag_0000_price_9_99.jpg,,ROSQUINHA MABEL LEITE 6000 | 部 | AR | 9.99,0,Mabel__Mabel Rosquinha Mabel Sabor Coco,0.9391872525215149,False,False,356.4256584478733,0,Mabel__Mabel Rosquinha Mabel Sabor Coco,356.4256584478733,1,0.37637969094922735,0.07326007326007326,0.38370569827523465,False,0,0,Mabel__Mabel Rosquinha Mabel Sabor Coco,0.9391872525215149,False,False,False,,,,,,,356.4256584478733,-170.5,313.0,1214.5,1357.0,1044.0,1670.0,aligned_known
IMG_7362.HEIC,1,0.9685949087142944,1972,2241,2163,2325,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,35.0,87.0,0.4397905759162304,16044,1.2302737520128824,1.0,2,"7,99",7.99,0.9659541249275208,,,,,,,1,"7,99",7.99,price_tag_crops\tag_0001_price_7_99.jpg,,SC PIT STOP SABORES 162G | 7.99,25,__Unknown__,0.4341426372528076,True,True,258.4695339880505,19,Mabel__Mabel Rosquinha Mabel Sabor Coco,754.4098687053345,2,0.2766393442622951,0.1070559610705596,0.28734494036935104,True,0,25,__Unknown__,0.4341426372528076,True,True,False,,,,,,,258.4695339880505,-67.5,249.5,2135.0,2033.5,2067.5,2283.0,aligned_unknown
IMG_7362.HEIC,2,0.9683862328529358,649,3200,823,3267,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,30.0,91.0,0.3850574712643678,11658,0.8939498504715896,1.0299496421945402,4,"5,49",5.49,0.9876971244812012,,,,,,,1,"5,49",5.49,price_tag_crops\tag_0002_price_5_49.jpg,,5.49,7,__Unknown__,0.5074767053127289,True,True,237.71463985207137,7,__Unknown__,237.71463985207137,4,0.1313364055299539,0.2087087087087087,0.15220727640082476,False,0,7,__Unknown__,0.5074767053127289,True,True,False,,,,,,,237.71463985207137,-28.5,236.0,764.5,2997.5,736.0,3233.5,aligned_unknown
IMG_7362.HEIC,3,0.9672265648841858,700,3656,866,3720,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,20.0,73.0,0.3855421686746988,10624,0.8146614523426118,1.0280627056318947,5,,,,,,,,,,0,,,price_tag_crops\tag_0003_price_not_found.jpg,price_not_found,lill,28,__Unknown__,0.5614057779312134,True,True,229.60672899547174,28,__Unknown__,229.60672899547174,5,0.025735294117647058,0.09921671018276762,0.03565696513592382,False,0,28,__Unknown__,0.5614057779312134,True,True,False,,,,,,,229.60672899547174,-7.0,229.5,790.0,3458.5,783.0,3688.0,aligned_unknown
IMG_7362.HEIC,4,0.966227650642395,1493,3196,1661,3260,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,26.0,75.0,0.38095238095238093,10752,0.8244766505636071,0.9499072356215214,4,"11,99",11.99,0.9535726308822632,,,,,,,1,"11,99",11.99,price_tag_crops\tag_0004_price_11_99.jpg,," | 11,99",38,__Unknown__,0.49477601051330566,True,True,276.7824055101769,38,__Unknown__,276.7824055101769,4,0.28869047619047616,0.5521235521235521,0.3439028314028314,False,0,38,__Unknown__,0.49477601051330566,True,True,False,,,,,,,276.7824055101769,48.5,272.5,1528.5,2955.5,1577.0,3228.0,aligned_unknown
IMG_7362.HEIC,5,0.9657410383224487,1283,3197,1451,3263,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,25.0,78.0,0.39285714285714285,11088,0.8502415458937198,0.9795918367346939,4,"11,99",11.99,0.9269059300422668,,,,,,,1,"11,99",11.99,price_tag_crops\tag_0005_price_11_99.jpg,,11.99,26,__Unknown__,0.5010806381702423,True,True,208.29366288968083,26,__Unknown__,208.29366288968083,4,0.1223021582733813,0.11711711711711711,0.13401386998509301,False,0,26,__Unknown__,0.5010806381702423,True,True,False,,,,,,,208.29366288968083,34.0,205.5,1333.0,3024.5,1367.0,3230.0,aligned_unknown
IMG_7362.HEIC,6,0.9655444622039795,1573,2761,1762,2830,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,26.0,76.0,0.36507936507936506,13041,1.0,0.9991189427312775,3,"5,49",5.49,0.996788740158081,,,,,,,1,"5,49",5.49,price_tag_crops\tag_0006_price_5_49.jpg,,5.49,40,__Unknown__,0.5123415688673655,True,True,109.11003620199197,40,__Unknown__,109.11003620199197,3,0.12698412698412698,0.629277566539924,0.1899118836381194,True,0,49,__Unknown__,0.5030056238174438,True,True,False,,,,,,,297.9681191000138,-24.0,297.0,1691.5,2498.5,1667.5,2795.5,aligned_unknown
IMG_7362.HEIC,7,0.96516352891922,297,2770,509,2842,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,31.0,89.0,0.33962264150943394,15264,1.1704623878536922,1.1694311434591074,3,"12,99",12.99,0.6149863600730896,,,,,,,1,"12,99",12.99,price_tag_crops\tag_0007_price_12_99.jpg,,1299,34,RANCHEIRO__RANCHEIRO ROSQUINHA DE COCO RANCHEIRO,0.8064030170440674,False,False,328.11659513045055,34,RANCHEIRO__RANCHEIRO ROSQUINHA DE COCO RANCHEIRO,328.11659513045055,3,0.52088772845953,0.14962593516209477,0.5358503219757395,False,0,34,RANCHEIRO__RANCHEIRO ROSQUINHA DE COCO RANCHEIRO,0.8064030170440674,False,False,False,,,,,,,328.11659513045055,199.5,260.5,203.5,2545.5,403.0,2806.0,aligned_known
IMG_7362.HEIC,8,0.964867115020752,860,2767,1044,2838,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,31.0,87.0,0.3858695652173913,13064,1.001763668430335,1.0008810572687226,3,"5,99",5.99,0.8898853659629822,,,,,,,1,"5,99",5.99,price_tag_crops\tag_0008_price_5_99.jpg,,"5,99",20,__Unknown__,0.6936730027198792,True,True,280.8745271469095,20,__Unknown__,280.8745271469095,3,0.19767441860465115,0.2541208791208791,0.22308650651673906,False,0,20,__Unknown__,0.6936730027198792,True,True,False,,,,,,,280.8745271469095,-59.5,274.5,1011.5,2528.0,952.0,2802.5,aligned_unknown
IMG_7362.HEIC,9,0.9630346894264221,586,985,830,1074,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,35.0,86.0,0.36475409836065575,21716,1.6652097231807377,1.2165826330532212,0,"21,99",21.99,0.9996502995491028,,,,,,,1,"21,99",21.99,price_tag_crops\tag_0009_price_21_99.jpg,,KIT CEREAL MAT ALCAFOODS 500G |  | RS | 21.99,11,__Unknown__,0.4471658766269684,True,True,423.8092141518398,11,__Unknown__,423.8092141518398,0,0.4189189189189189,0.05035460992907802,0.4239543799118267,False,0,11,__Unknown__,0.4471658766269684,True,True,False,,,,,,,423.8092141518398,-170.5,388.0,878.5,641.5,708.0,1029.5,aligned_unknown
