source_image,tag_index,detector_confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sale_classification,is_promo,sale_reason,sale_color_reason,sale_geometry_reason,sale_keyword_match,sale_baseline_color,sale_baseline_confidence,sale_baseline_source,tag_color,tag_red_ratio,tag_yellow_ratio,tag_background_lab_b,tag_background_saturation,tag_aspect_ratio,tag_area,tag_area_to_median_ratio,tag_area_to_shelf_median_ratio,sale_shelf_index,primary_price,primary_value,primary_price_confidence,secondary_price,secondary_value,secondary_price_confidence,tertiary_price,tertiary_value,tertiary_price_confidence,price_count,prices,price_values,crop_file,ocr_error,ocr_text,closest_product_index,closest_product_label,closest_product_score,closest_product_is_unknown,closest_product_is_rejected,closest_product_distance_px,preferred_product_index,preferred_product_label,preferred_product_distance_px,alignment_shelf_row_index,alignment_horizontal_offset_ratio,alignment_vertical_gap_ratio,alignment_match_cost,alignment_one_to_one_reassigned,alignment_one_to_one_rejection_count,aligned_product_index,aligned_product_label,aligned_product_score,aligned_product_is_unknown,aligned_product_is_rejected,alignment_corrected,alignment_correction_reason,alignment_consensus_label,alignment_consensus_votes,alignment_consensus_total,alignment_consensus_share,alignment_consensus_product_indices,alignment_distance_px,alignment_dx_px,alignment_dy_px,alignment_product_center_x,alignment_product_center_y,alignment_price_tag_center_x,alignment_price_tag_center_y,alignment_status
IMG_7294.HEIC,0,0.9592899680137634,1537,1627,1682,1745,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-5.0,20.0,0.8137931034482758,17110,1.0988022990720225,1.0069444444444444,0,"4,99",4.99,0.9943304657936096,"5,49",5.49,0.9999386072158813,,,,2,"4,99 / 5,49",4.99 / 5.49,price_tag_crops\tag_0000_price_4_99__5_49.jpg,," | 4,99 | 5,49 | 2 | 客",90,__Unknown__,0.5537512004375458,True,True,177.15882704511228,90,__Unknown__,177.15882704511228,0,0.4896142433234421,0.1935483870967742,0.5089690820331195,False,0,90,__Unknown__,0.5537512004375458,True,True,False,,,,,,,177.15882704511228,165.0,64.5,1444.5,1621.5,1609.5,1686.0,aligned_unknown
IMG_7294.HEIC,1,0.9592669010162354,524,2179,661,2293,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-6.0,19.0,0.8321167883211679,15618,1.002986224833831,1.0162675689744924,1,"4,99",4.99,0.9456079006195068,"5,49",5.49,0.9911627173423767,,,,2,"4,99 / 5,49",4.99 / 5.49,price_tag_crops\tag_0001_price_4_99__5_49.jpg,,"4,99 | 5,49",46,__Unknown__,0.6005277633666992,True,True,82.22682044199448,46,__Unknown__,82.22682044199448,1,0.06231454005934718,0.48148148148148145,0.11046268820749533,False,0,46,__Unknown__,0.6005277633666992,True,True,False,,,,,,,82.22682044199448,21.0,79.5,571.5,2156.5,592.5,2236.0,aligned_unknown
IMG_7294.HEIC,2,0.9585774540901184,1007,2768,1146,2883,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-7.0,22.0,0.8273381294964028,15985,1.0265549240599814,1.0,2,"3,15",3.15,0.9982361793518066,"3,29",3.29,0.9992763996124268,,,,2,"3,15 / 3,29",3.15 / 3.29,price_tag_crops\tag_0002_price_3_15__3_29.jpg,,"3,15 | 3,29",40,__Unknown__,0.5257128477096558,True,True,164.76422548599558,40,__Unknown__,164.76422548599558,2,0.5584415584415584,0.6918604651162791,0.6276276049531864,False,0,40,__Unknown__,0.5257128477096558,True,True,False,,,,,,,164.76422548599558,-129.0,102.5,1205.5,2723.0,1076.5,2825.5,aligned_unknown
IMG_7294.HEIC,3,0.9577890634536743,1960,1629,2104,1747,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-5.0,19.0,0.8194444444444444,16992,1.0912243521818707,1.0,0,"4,99",4.99,0.9477469325065613,"5,49",5.49,0.9995529651641846,,,,2,"4,99 / 5,49",4.99 / 5.49,price_tag_crops\tag_0003_price_4_99__5_49.jpg,,"4,99 | 5,49 | 44 | ",30,__Unknown__,0.618182584643364,True,True,190.77014965659592,30,__Unknown__,190.77014965659592,0,0.528125,0.8615384615384616,0.6142788461538461,False,0,30,__Unknown__,0.618182584643364,True,True,False,,,,,,,190.77014965659592,169.0,88.5,1863.0,1599.5,2032.0,1688.0,aligned_unknown
IMG_7294.HEIC,4,0.9563722610473633,731,1625,876,1742,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-3.0,17.0,0.8068965517241379,16965,1.0894904151815816,0.9984110169491526,0,"4,99",4.99,0.9852008819580078,"5,49",5.49,0.9998332262039185,,,,2,"4,99 / 5,49",4.99 / 5.49,price_tag_crops\tag_0004_price_4_99__5_49.jpg,,"0 | 4,99 | 5,49",25,__Unknown__,0.5458720028400421,True,True,260.06922155457,25,__Unknown__,260.06922155457,0,,,,True,1,,,,,,,,,,,,,,,,,,803.5,1683.5,no_available_product_for_one_to_one
IMG_7294.HEIC,5,0.9540542364120483,1687,2178,1822,2293,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-5.0,19.0,0.8518518518518519,15525,0.997013775166169,1.0102160333159813,1,"2,29",2.29,0.9993813037872314,"2,39",2.39,0.9981579780578613,,,,2,"2,29 / 2,39",2.29 / 2.39,price_tag_crops\tag_0005_price_2_29__2_39.jpg,,"2,29 | 2,39 | 0 | 11",87,__Unknown__,0.5372012853622437,True,True,191.3720198984167,87,__Unknown__,191.3720198984167,1,0.5111111111111111,0.24375,0.5354861111111111,False,0,87,__Unknown__,0.5372012853622437,True,True,False,,,,,,,191.3720198984167,69.0,178.5,1685.5,2057.0,1754.5,2235.5,aligned_unknown
IMG_7294.HEIC,6,0.9535388946533203,1008,2180,1144,2293,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-8.0,24.0,0.8308823529411765,15368,0.986931252608933,1.0,1,"4,99",4.99,0.9744812250137329,"5,49",5.49,0.9993929266929626,,,,2,"4,99 / 5,49",4.99 / 5.49,price_tag_crops\tag_0006_price_4_99__5_49.jpg,,"4,99 | 5,49 |  | 国",35,__Unknown__,0.6304105917612711,True,True,150.88157607872475,35,__Unknown__,150.88157607872475,1,0.39308176100628933,0.7803030303030303,0.47111206403659234,False,0,35,__Unknown__,0.6304105917612711,True,True,False,,,,,,,150.88157607872475,125.0,84.5,951.0,2152.0,1076.0,2236.5,aligned_unknown
IMG_7294.HEIC,7,0.9482206106185913,1542,2182,1679,2294,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-6.0,20.0,0.8175182481751825,15344,0.9853899752753428,0.9984383133784487,1,"2,29",2.29,0.9990947246551514,"2,39",2.39,0.9996911287307739,,,,2,"2,29 / 2,39",2.29 / 2.39,price_tag_crops\tag_0007_price_2_29__2_39.jpg,," | 2,39 | 2,29 | 画",10,__Unknown__,0.5838683048884074,True,True,155.54099138169335,10,__Unknown__,155.54099138169335,1,0.20437956204379562,0.33152173913043476,0.2375317359568391,False,0,10,__Unknown__,0.5838683048884074,True,True,False,,,,,,,155.54099138169335,28.0,153.0,1582.5,2085.0,1610.5,2238.0,aligned_unknown
IMG_7294.HEIC,8,0.9392344355583191,1906,2215,2023,2286,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-5.0,18.0,0.6068376068376068,8307,0.5334746170889124,0.5405387818844352,1,,,,,,,,,,0,,,price_tag_crops\tag_0008_price_not_found.jpg,price_not_found,49,96,__Unknown__,0.47220860918362934,True,True,96.50129532809392,96,__Unknown__,96.50129532809392,1,0.09571428571428571,0.5055555555555555,0.14626984126984127,False,0,96,__Unknown__,0.47220860918362934,True,True,False,,,,,,,96.50129532809392,33.5,90.5,1931.0,2160.0,1964.5,2250.5,aligned_unknown
IMG_7294.HEIC,9,0.9381691813468933,1042,3600,1173,3684,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,1.0,image_single_palette,white,0.0,0.0,-1.0,4.0,0.6412213740458015,11004,0.7066756574511126,1.0,3,"2,59",2.59,0.9160208702087402,"2,99",2.99,0.9613555669784546,,,,2,"2,59 / 2,99",2.59 / 2.99,price_tag_crops\tag_0009_price_2_59__2_99.jpg,,"2.59 | 2,99 | TP | 频",97,__Unknown__,0.6440720558166504,True,True,221.7746604100658,55,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,275.26169366622736,3,0.5714285714285714,2.985294117647059,0.11995798319327733,False,0,55,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,0.6959202488263448,False,False,True,neighbor_consensus,RANCHEIRO__RANCHEIRO COOKIES RANCHEIRO,3,5,0.6,55 / 77 / 64,275.26169366622736,-140.0,237.0,1247.5,3405.0,1107.5,3642.0,corrected_neighbor_consensus
