source_image,tag_index,detector_confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sale_classification,is_promo,sale_reason,sale_color_reason,sale_geometry_reason,sale_keyword_match,sale_baseline_color,sale_baseline_confidence,sale_baseline_source,tag_color,tag_red_ratio,tag_yellow_ratio,tag_background_lab_b,tag_background_saturation,tag_aspect_ratio,tag_area,tag_area_to_median_ratio,tag_area_to_shelf_median_ratio,sale_shelf_index,primary_price,primary_value,primary_price_confidence,secondary_price,secondary_value,secondary_price_confidence,tertiary_price,tertiary_value,tertiary_price_confidence,price_count,prices,price_values,crop_file,ocr_error,ocr_text,closest_product_index,closest_product_label,closest_product_score,closest_product_is_unknown,closest_product_is_rejected,closest_product_distance_px,preferred_product_index,preferred_product_label,preferred_product_distance_px,alignment_shelf_row_index,alignment_horizontal_offset_ratio,alignment_vertical_gap_ratio,alignment_match_cost,alignment_one_to_one_reassigned,alignment_one_to_one_rejection_count,aligned_product_index,aligned_product_label,aligned_product_score,aligned_product_is_unknown,aligned_product_is_rejected,alignment_corrected,alignment_correction_reason,alignment_consensus_label,alignment_consensus_votes,alignment_consensus_total,alignment_consensus_share,alignment_consensus_product_indices,alignment_distance_px,alignment_dx_px,alignment_dy_px,alignment_product_center_x,alignment_product_center_y,alignment_price_tag_center_x,alignment_price_tag_center_y,alignment_status
IMG_7376.HEIC,0,0.9698096513748169,1287,3289,1588,3420,promo,True,shelf_size_outlier,yellow_vs_image_white,shelf_size_outlier,,white,1.0,image_mixed_palette_white_anchor,yellow,0.0,0.8172771672771673,61.0,150.0,0.43521594684385384,39431,0.9272427983539094,6.056989247311828,6,"7,49",7.49,0.9966042041778564,"4,99",4.99,0.9983364939689636,,,,2,"7,49 / 4,99",7.49 / 4.99,price_tag_crops\tag_0000_price_7_49__4_99.jpg,,"4,99 | 7,49",17,Mabel__Mabel Cracker Agua e Sal,0.8198525667190552,False,False,136.06064824187777,17,Mabel__Mabel Cracker Agua e Sal,136.06064824187777,7,0.12790697674418605,0.38175675675675674,0.16608265241986173,False,0,17,Mabel__Mabel Cracker Agua e Sal,0.8198525667190552,False,False,False,,,,,,,136.06064824187777,38.5,130.5,1399.0,3224.0,1437.5,3354.5,aligned_known
IMG_7376.HEIC,1,0.9684908986091614,800,2614,1128,2767,promo,True,yellow_vs_image_white,yellow_vs_image_white,,,white,1.0,image_mixed_palette_white_anchor,yellow,0.00018986140117714068,0.8262768179229163,70.0,159.0,0.46646341463414637,50184,1.18010582010582,1.7601010101010102,4,"9,19",9.19,0.9995853900909424,"6,13",6.13,0.9994758367538452,,,,2,"9,19 / 6,13",9.19 / 6.13,price_tag_crops\tag_0001_price_9_19__6_13.jpg,,"BISC AMANT MARILAN | (40 cócipo) | CHOCOLATE 2800 | 3 | _ | UMOADE, PADUE | 6,13 | RS | 9,19 | RS",18,__Unknown__,0.4955006241798401,True,True,167.08755190019392,18,__Unknown__,167.08755190019392,5,0.20121951219512196,0.44753086419753085,0.24597259861487505,False,0,18,__Unknown__,0.4955006241798401,True,True,False,,,,,,,167.08755190019392,66.0,153.5,898.0,2537.0,964.0,2690.5,aligned_unknown
IMG_7376.HEIC,2,0.96651291847229,1265,2296,1613,2453,promo,True,yellow_vs_image_white,yellow_vs_image_white,,,white,1.0,image_mixed_palette_white_anchor,yellow,0.0,0.8101304614306979,62.0,145.0,0.4511494252873563,54636,1.2847971781305114,0.9979998356029263,3,"14,99",14.99,0.9994991421699524,,,,,,,1,"14,99",14.99,price_tag_crops\tag_0002_price_14_99.jpg,,"BISC AMANT BAUDUCCO | (TMa Cógo) | LETT GOTA CHOC 3350 | 3 | 1 | UNCADE, PAXA | 14,99 | RS",8,__Unknown__,0.5782381296157837,True,True,208.39985604601554,5,__Unknown__,319.3900436770063,4,0.7959770114942529,0.050173010380622836,0.8009943125323152,False,0,5,__Unknown__,0.5718079805374146,True,True,False,,,,,,,319.3900436770063,277.0,159.0,1162.0,2215.5,1439.0,2374.5,aligned_unknown
IMG_7376.HEIC,3,0.9648704528808594,1458,2610,1792,2769,promo,True,shelf_size_outlier,yellow_vs_image_white,shelf_size_outlier,,white,1.0,image_mixed_palette_white_anchor,yellow,0.0,0.8320368383404864,68.0,159.0,0.47604790419161674,53106,1.2488183421516754,1.8625841750841752,4,"6,13",6.13,0.9987648725509644,,,,,,,1,"6,13",6.13,price_tag_crops\tag_0003_price_6_13.jpg,,"X AMANT MARILAN | COCO 2800 | (NO (Sp100) | 3 | 1 | 6,13 | RS | RS",43,__Unknown__,0.5983414252599081,True,True,180.80998313146318,43,__Unknown__,180.80998313146318,5,0.32934131736526945,0.33430232558139533,0.362771549923409,False,0,43,__Unknown__,0.5983414252599081,True,True,False,,,,,,,180.80998313146318,-110.0,143.5,1735.0,2546.0,1625.0,2689.5,aligned_unknown
IMG_7376.HEIC,4,0.963775098323822,523,3274,827,3419,promo,True,shelf_size_outlier,yellow_vs_image_white,shelf_size_outlier,,white,1.0,image_mixed_palette_white_anchor,yellow,0.00043170902811505045,0.8347094058604501,65.0,153.0,0.4769736842105263,44080,1.0365667254556143,6.771121351766513,6,"7,49",7.49,0.9971331357955933,"4,99",4.99,0.9838641881942749,,,,2,"7,49 / 4,99",7.49 / 4.99,price_tag_crops\tag_0004_price_7_49__4_99.jpg,,"RSCOrt0 AMNT0ADO | MABEL COCO 3000 | UMCADA PAIRA | 7,49 | 4,99 | R1 | AI",26,Mabel__Mabel Cracker Agua e Sal,0.8327559034029642,False,False,163.6154026979123,26,Mabel__Mabel Cracker Agua e Sal,163.6154026979123,7,0.20723684210526316,0.2823834196891192,0.2354751840741751,False,0,26,Mabel__Mabel Cracker Agua e Sal,0.8327559034029642,False,False,False,,,,,,,163.6154026979123,63.0,151.0,612.0,3195.5,675.0,3346.5,aligned_known
IMG_7376.HEIC,5,0.9617490768432617,660,2941,975,3076,promo,True,shelf_size_outlier,yellow_vs_image_white,shelf_size_outlier,,white,1.0,image_mixed_palette_white_anchor,yellow,0.0,0.8475869809203143,59.0,150.0,0.42857142857142855,42525,1.0,6.907894736842105,5,"7,49",7.49,0.9805097579956055,,,,,,,1,"7,49",7.49,price_tag_crops\tag_0005_price_7_49.jpg,,BTCTO AMANTGADO | WAREL CHOCOLATT 300G |  (O) | 5 | 7.49 | 4 | C,20,Mabel__Mabel Cookie Mabel Chocolate com gotas de chocolate,0.7772042751312256,False,False,181.98969751060085,20,Mabel__Mabel Cookie Mabel Chocolate com gotas de chocolate,181.98969751060085,6,0.09523809523809523,0.7821428571428571,0.17345238095238097,False,0,20,Mabel__Mabel Cookie Mabel Chocolate com gotas de chocolate,0.7772042751312256,False,False,False,,,,,,,181.98969751060085,30.0,179.5,787.5,2829.0,817.5,3008.5,aligned_known
IMG_7376.HEIC,6,0.9585390090942383,477,2286,822,2445,promo,True,yellow_vs_image_white,yellow_vs_image_white,,,white,1.0,image_mixed_palette_white_anchor,yellow,4.304407713498623e-05,0.8225723140495868,61.0,143.0,0.4608695652173913,54855,1.28994708994709,1.0020001643970737,3,,,,,,,,,,0,,,price_tag_crops\tag_0006_price_not_found.jpg,price_not_found,"RS | RS | BISC DOCE AMANT | (440 C00) | BAUDUCCO CHOC 3350 | 3 | MAN D4 N R  | 1 | UNMDADE, PAGUL | RS | RS",19,__Unknown__,0.5763657093048096,True,True,220.94852341665467,65,__Unknown__,223.00896842952304,4,,,,True,1,,,,,,,,,,,,,,,,,,649.5,2365.5,no_available_product_for_one_to_one
IMG_7376.HEIC,7,0.9583494663238525,1153,3359,1258,3421,regular,False,image_base_color,matches_image_base_color,,,white,1.0,image_mixed_palette_white_anchor,white,0.0,0.0,-3.0,15.0,0.5904761904761905,6510,0.15308641975308643,1.0,6,"1,89",1.89,0.6396706104278564,,,,,,,1,"1,89",1.89,price_tag_crops\tag_0007_price_1_89.jpg,,TW | 1.89 | f,27,Mabel__Mabel Amanteigado Mabel Sabor Leite,0.8375369310379028,False,False,173.62171523170713,27,Mabel__Mabel Amanteigado Mabel Sabor Leite,173.62171523170713,7,0.03611111111111111,0.5146198830409356,0.08757309941520468,False,0,27,Mabel__Mabel Amanteigado Mabel Sabor Leite,0.8375369310379028,False,False,False,,,,,,,173.62171523170713,-6.5,173.5,1212.0,3216.5,1205.5,3390.0,aligned_known
IMG_7376.HEIC,8,0.9570742249488831,1683,2302,2035,2459,promo,True,yellow_vs_image_white,yellow_vs_image_white,,,white,1.0,image_mixed_palette_white_anchor,yellow,0.0,0.8131191317081574,63.0,155.0,0.4460227272727273,55264,1.299564961787184,1.0094710980811208,3,"14,99",14.99,0.9997608065605164,,,,,,,1,"14,99",14.99,price_tag_crops\tag_0008_price_14_99.jpg,,"山 | m | BISC DOCE AMANT | (MMO COG) | BAUDUCCO LETTE 3350 | 3 | 1 | UNIDADI, PAur | RS | 14,99 | R1",14,__Unknown__,0.5682312250137329,True,True,198.88753103198803,14,__Unknown__,198.88753103198803,4,0.21448863636363635,0.3803827751196172,0.25252691387559806,False,0,14,__Unknown__,0.5682312250137329,True,True,False,,,,,,,198.88753103198803,-75.5,184.0,1934.5,2196.5,1859.0,2380.5,aligned_unknown
IMG_7376.HEIC,9,0.9562544226646423,644,2700,758,2760,regular,False,image_base_color,matches_image_base_color,,,white,1.0,image_mixed_palette_white_anchor,white,0.0,0.0,-4.0,14.0,0.5263157894736842,6840,0.16084656084656085,0.2398989898989899,4,"0,45",0.45,0.594906747341156,"0,19",0.19,0.8874863982200623,,,,2,"0,45 / 0,19",0.45 / 0.19,price_tag_crops\tag_0009_price_0_45__0_19.jpg,,045 | 019 | ,0,__Unknown__,0.5112945437431335,True,True,144.02169975389126,0,__Unknown__,144.02169975389126,5,0.012077294685990338,0.14864864864864866,0.026942159550855202,False,0,0,__Unknown__,0.5112945437431335,True,True,False,,,,,,,144.02169975389126,2.5,144.0,698.5,2586.0,701.0,2730.0,aligned_unknown
