source_image,tag_index,detector_confidence,bbox_xmin,bbox_ymin,bbox_xmax,bbox_ymax,sale_classification,is_promo,sale_reason,sale_color_reason,sale_geometry_reason,sale_keyword_match,sale_baseline_color,sale_baseline_confidence,sale_baseline_source,tag_color,tag_red_ratio,tag_yellow_ratio,tag_background_lab_b,tag_background_saturation,tag_aspect_ratio,tag_area,tag_area_to_median_ratio,tag_area_to_shelf_median_ratio,sale_shelf_index,primary_price,primary_value,primary_price_confidence,secondary_price,secondary_value,secondary_price_confidence,tertiary_price,tertiary_value,tertiary_price_confidence,price_count,prices,price_values,crop_file,ocr_error,ocr_text,closest_product_index,closest_product_label,closest_product_score,closest_product_is_unknown,closest_product_is_rejected,closest_product_distance_px,preferred_product_index,preferred_product_label,preferred_product_distance_px,alignment_shelf_row_index,alignment_horizontal_offset_ratio,alignment_vertical_gap_ratio,alignment_match_cost,alignment_one_to_one_reassigned,alignment_one_to_one_rejection_count,aligned_product_index,aligned_product_label,aligned_product_score,aligned_product_is_unknown,aligned_product_is_rejected,alignment_corrected,alignment_correction_reason,alignment_consensus_label,alignment_consensus_votes,alignment_consensus_total,alignment_consensus_share,alignment_consensus_product_indices,alignment_distance_px,alignment_dx_px,alignment_dy_px,alignment_product_center_x,alignment_product_center_y,alignment_price_tag_center_x,alignment_price_tag_center_y,alignment_status
IMG_7373.HEIC,0,0.9695930480957031,40,1895,232,1973,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,white,0.0,0.0,49.0,116.0,0.40625,14976,1.0481522956326987,0.9719626168224299,2,"4,49",4.49,0.9776870012283325,,,,,,,1,"4,49",4.49,price_tag_crops\tag_0000_price_4_49.jpg,, | 4.49 |  | UN | 思哥,54,__Unknown__,0.5573679804801941,True,True,187.8223895066826,21,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,313.91439916002577,2,0.046218487394957986,0.1625441696113074,0.062472904356088724,True,0,54,__Unknown__,0.5573679804801941,True,True,False,,,,,,,187.8223895066826,11.0,187.5,125.0,1746.5,136.0,1934.0,aligned_unknown
IMG_7373.HEIC,1,0.9689132571220398,1281,930,1508,1032,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,yellow,0.0,0.7147748495538494,61.0,146.0,0.44933920704845814,23154,1.6205207166853304,0.9738801261829653,0,"13,99",13.99,0.9996564984321594,,,,,,,1,"13,99",13.99,price_tag_crops\tag_0001_price_13_99.jpg,,"13,99 | UN | 045643",7,RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE CHOCOLATE RANCHEIRO,0.7371292829513549,False,False,406.85439655975205,7,RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE CHOCOLATE RANCHEIRO,406.85439655975205,0,0.41593886462882096,0.09618573797678276,0.42555743842649923,False,0,7,RANCHEIRO__RANCHEIRO ROSQUINHA RECHEADA DE CHOCOLATE RANCHEIRO,0.7371292829513549,False,False,False,,,,,,,406.85439655975205,190.5,359.5,1204.0,621.5,1394.5,981.0,aligned_known
IMG_7373.HEIC,2,0.9688818454742432,2023,2835,2218,2912,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,white,0.0,0.04060102301790281,58.0,166.0,0.39487179487179486,15015,1.0508818589025757,1.0,6,"3,49",3.49,0.9973684549331665,,,,,,,1,"3,49",3.49,price_tag_crops\tag_0002_price_3_49.jpg,,3.49,43,__Unknown__,0.5980936765670777,True,True,204.88289338058462,57,__Unknown__,458.1899169558405,7,,,,True,0,,,,,,,,,,,,,,,,,,2120.5,2873.5,no_available_product_for_one_to_one
IMG_7373.HEIC,3,0.9683421850204468,667,1498,872,1586,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,yellow,0.0,0.9468029350104822,67.0,152.0,0.4292682926829268,18040,1.2625979843225084,0.9688246824736177,1,"6,99",6.99,0.9860377311706543,,,,,,,1,"6,99",6.99,price_tag_crops\tag_0003_price_6_99.jpg,,W  | 6.99 | UN | 045003 | 加0,19,__Unknown__,0.6008553504943848,True,True,201.22437725086888,0,Mabel__Mabel Rosquinha Mabel Sabor Leite,443.30717341365005,1,0.10610932475884244,0.2271062271062271,0.12881994746946515,True,0,19,__Unknown__,0.6008553504943848,True,True,False,,,,,,,201.22437725086888,-33.0,198.5,802.5,1343.5,769.5,1542.0,aligned_unknown
IMG_7373.HEIC,4,0.9681366682052612,362,2249,550,2325,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,white,0.0,0.0033927056827820186,50.0,122.0,0.40425531914893614,14288,1.0,0.988173455978975,3,"11,99",11.99,0.9722137451171875,,,,,,,1,"11,99",11.99,price_tag_crops\tag_0004_price_11_99.jpg,,"11,99 | 812354 | UN | 佳",4,__Unknown__,0.5340266227722168,True,True,208.50239806774405,4,__Unknown__,208.50239806774405,4,0.4779735682819383,0.24015748031496062,0.5019893163134344,True,0,5,__Unknown__,0.5599768459796906,True,True,False,,,,,,,217.06277893733878,108.5,188.0,347.5,2099.0,456.0,2287.0,aligned_unknown
IMG_7373.HEIC,5,0.9680815935134888,1794,1471,2019,1564,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,yellow,0.0,0.9252938517179023,65.0,156.0,0.41333333333333333,20925,1.4645156774916013,1.1237614457184286,1,"4,99",4.99,0.8896411657333374,,,,,,,1,"4,99",4.99,price_tag_crops\tag_0005_price_4_99.jpg,," | 4,99 | UN | 234555 | 过",6,Mabel__Mabel Rosquinha Mabel Sabor Chocolate,0.877275538444519,False,False,273.6991961990389,6,Mabel__Mabel Rosquinha Mabel Sabor Chocolate,273.6991961990389,1,0.3467048710601719,0.15641711229946523,0.3623465822901184,False,0,6,Mabel__Mabel Rosquinha Mabel Sabor Chocolate,0.877275538444519,False,False,False,,,,,,,273.6991961990389,121.0,245.5,1785.5,1272.0,1906.5,1517.5,aligned_known
IMG_7373.HEIC,6,0.9680404663085938,20,2248,204,2323,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,white,0.0,0.0,45.0,118.0,0.4076086956521739,13800,0.9658454647256439,0.9544228508195588,3,"9,99",9.99,0.9936955571174622,,,,,,,1,"9,99",9.99,price_tag_crops\tag_0006_price_9_99.jpg,,9.99 | UN,9,__Unknown__,0.5697523355484009,True,True,182.0686683644388,9,__Unknown__,182.0686683644388,4,0.021367521367521368,0.19731800766283525,0.04109932213380489,False,0,9,__Unknown__,0.5697523355484009,True,True,False,,,,,,,182.0686683644388,-5.0,182.0,117.0,2103.5,112.0,2285.5,aligned_unknown
IMG_7373.HEIC,7,0.9676389098167419,728,2653,912,2734,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,yellow,0.0,0.8943798449612403,72.0,163.0,0.44021739130434784,14904,1.0431131019036954,1.0,5,"12,54",12.54,0.6587663888931274,"9,99",9.99,0.9947271943092346,,,,2,"12,54 / 9,99",12.54 / 9.99,price_tag_crops\tag_0007_price_12_54__9_99.jpg,,N    | 9.99 | UN | 1254 | 建,34,__Unknown__,0.6308970093727112,True,True,230.9312668306308,34,__Unknown__,230.9312668306308,6,0.28040540540540543,0.2751798561151079,0.30792339101691624,False,0,34,__Unknown__,0.6308970093727112,True,True,False,,,,,,,230.9312668306308,83.0,215.5,737.0,2478.0,820.0,2693.5,aligned_unknown
IMG_7373.HEIC,8,0.967423677444458,351,3051,522,3119,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,white,0.0,0.0,34.0,106.0,0.39766081871345027,11628,0.8138297872340425,0.9467513434294089,7,"9,99",9.99,0.9999070167541504,,,,,,,1,"9,99",9.99,price_tag_crops\tag_0008_price_9_99.jpg,,999,40,__Unknown__,0.7428305745124817,True,True,198.77688497408343,40,__Unknown__,198.77688497408343,8,0.08130081300813008,0.3153526970954357,0.11283608271767365,False,0,40,__Unknown__,0.7428305745124817,True,True,False,,,,,,,198.77688497408343,30.0,196.5,406.5,2888.5,436.5,3085.0,aligned_unknown
IMG_7373.HEIC,9,0.967246949672699,751,1891,949,1971,regular,False,image_single_palette,single_image_palette_no_reliable_contrast,,,white,0.5185185185185185,image_single_palette,yellow,0.0,0.9470923261390888,68.0,157.0,0.40404040404040403,15840,1.108622620380739,1.02803738317757,2,"4,49",4.49,0.8756542205810547,,,,,,,1,"4,49",4.49,price_tag_crops\tag_0009_price_4_49.jpg,,4.49 | UN | 048795 | 国,51,__Unknown__,0.6159449815750122,True,True,176.43483216190617,28,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,264.8744985837632,2,0.5863787375415282,0.16498316498316498,-0.1471229459601553,False,0,28,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,0.7598349094390869,False,False,True,neighbor_consensus,RANCHEIRO__RANCHEIRO ROSQUINHA DE CHOCOLATE RANCHEIRO,2,2,1.0,28 / 21,264.8744985837632,176.5,197.5,673.5,1733.5,850.0,1931.0,corrected_neighbor_consensus
